ticker,price_date,open_price,high_price,low_price,close_price,volume,prev_close_price,daily_return_pct
AAPL,2024-03-14,171.35057361629617,172.73794133442243,170.49832912625453,171.43975830078125,72913500,169.5866241455078,1.0927
AAPL,2024-03-15,169.6262667891251,171.0631866455078,168.75419840900892,171.0631866455078,121752700,171.43975830078125,-0.2197
AAPL,2024-03-18,173.98656516716397,176.10726419166866,171.9550508157469,172.1532440185547,75604200,171.0631866455078,0.6372
AAPL,2024-03-19,172.76764601394297,175.0171774056643,171.4694631572472,174.49195861816406,55215200,172.1532440185547,1.3585
AAPL,2024-03-19,172.76764601394297,175.0171774056643,171.4694631572472,174.49195861816406,55215200,174.49195861816406,0.0
AAPL,2024-03-20,174.1352325028599,177.05862426757812,173.51090945491785,177.05862426757812,53423100,174.49195861816406,1.4709
AAPL,2024-03-20,174.1352325028599,177.05862426757812,173.51090945491785,177.05862426757812,53423100,177.05862426757812,0.0
AAPL,2024-03-21,175.45324461547284,175.88927881289044,169.29924400405602,169.824462890625,106181300,177.05862426757812,-4.0857
AAPL,2024-03-21,175.4532130863986,175.88924720546055,169.2992135808601,169.82443237304688,106181300,169.824462890625,-0.0
AAPL,2024-03-22,170.21092760104457,171.48930183291895,168.52626256417108,170.7262420654297,71160100,169.82443237304688,0.531
AAPL,2024-03-22,170.21092760104457,171.48930183291895,168.52626256417108,170.7262420654297,71160100,170.7262420654297,0.0
AAPL,2024-03-25,169.0316847755244,170.38932429506946,167.92177545566648,169.3091583251953,54288300,170.7262420654297,-0.83
AAPL,2024-03-25,169.03166954174233,170.3893089389317,167.92176032191367,169.30914306640625,54288300,169.3091583251953,-0.0
AAPL,2024-03-26,168.4668059986792,169.87399750483326,168.0505957042821,168.17942810058594,57388400,169.30914306640625,-0.6672
AAPL,2024-03-26,168.46682128354186,169.8740129173693,168.05061095138228,168.179443359375,57388400,168.17942810058594,0.0
AAPL,2024-03-27,168.87310882923745,172.0343412561863,168.575811446925,171.7469482421875,60273300,168.179443359375,2.1212
AAPL,2024-03-27,168.87312383270142,172.0343565405087,168.57582642397568,171.74696350097656,60273300,171.7469482421875,0.0
AAPL,2024-03-28,170.2010103030642,170.67667701496117,168.97218824939392,169.93344116210938,65672700,171.74696350097656,-1.0559
AAPL,2024-03-28,170.2010103030642,170.67667701496117,168.97218824939392,169.93344116210938,65672700,169.93344116210938,0.0
AAPL,2024-04-01,169.64606274055888,169.70551918920845,167.95147834818596,168.49652099609375,46240500,169.93344116210938,-0.8456
AAPL,2024-04-01,169.6460781034487,169.70553455748254,167.9514935576168,168.4965362548828,46240500,168.49652099609375,0.0
AAPL,2024-04-02,167.5551169522469,167.81276664190898,166.71277681419204,167.31727600097656,49329500,168.4965362548828,-0.6999
AAPL,2024-04-02,167.55510167176752,167.81275133793278,166.71276161053132,167.3172607421875,49329500,167.31727600097656,-0.0
