price_date,sector,avg_daily_return_pct,max_daily_return_pct,min_daily_return_pct,ticker_count
2026-03-19,Consumer,-0.5003,0.2878,-1.0673,3
2026-03-19,Energy,0.349,1.2436,-0.5457,2
2026-03-19,Financials,-1.0077,-0.7611,-1.1745,3
2026-03-19,Healthcare,0.1181,0.366,-0.313,3
2026-03-19,Technology,-0.5754,0.2481,-1.3553,3
2026-03-18,Consumer,-2.1952,-1.6303,-2.4784,3
2026-03-18,Energy,-0.2225,0.3233,-0.7682,2
2026-03-18,Financials,-0.2829,0.2963,-0.9518,3
2026-03-18,Healthcare,-0.6496,-0.3486,-1.1267,3
2026-03-18,Technology,-1.4787,-0.841,-1.9078,3
2026-03-17,Consumer,0.1183,1.6341,-0.7223,3
2026-03-17,Energy,0.7895,1.0049,0.5741,2
2026-03-17,Financials,0.7555,1.5438,0.2551,3
2026-03-17,Healthcare,0.5988,3.1567,-2.0889,3
2026-03-17,Technology,-0.0938,0.5577,-0.7041,3
2026-03-16,Consumer,0.3448,1.9598,-0.5184,3
2026-03-16,Energy,0.216,0.4344,-0.0025,2
2026-03-16,Financials,0.7893,1.3724,0.3412,3
2026-03-16,Healthcare,0.447,1.1252,0.1029,3
2026-03-16,Technology,1.2293,1.6477,0.8255,3
2026-03-13,Consumer,0.0687,0.9495,-0.7636,3
2026-03-13,Energy,0.4747,1.687,-0.0762,2
2026-03-13,Financials,-0.0718,0.3853,-0.8699,3
2026-03-13,Healthcare,0.2044,1.8192,-0.6348,3
2026-03-13,Technology,-0.8677,0.2519,-2.2052,3
2026-03-12,Consumer,0.1901,1.49,-1.4672,3
2026-03-12,Energy,0.9968,2.7009,0.0,2
2026-03-12,Financials,-1.4791,0.0,-4.3993,3
2026-03-12,Healthcare,-0.8129,0.0,-2.8747,3
2026-03-12,Technology,-0.706,0.0,-1.9363,3
2026-03-11,Consumer,-0.4335,0.0,-1.3028,3
2026-03-11,Energy,1.3204,2.9524,0.0,2
2026-03-11,Financials,-0.2845,0.0,-1.2053,3
2026-03-11,Healthcare,0.2085,1.0307,-0.2954,3
2026-03-11,Technology,0.0771,0.6874,-0.2169,3
2026-03-10,Consumer,0.0385,0.6273,-0.7898,3
2026-03-10,Energy,-0.7996,0.0,-1.6628,2
2026-03-10,Financials,0.1969,1.3779,-0.4105,3
2026-03-10,Healthcare,0.1291,1.3055,-0.9924,3
2026-03-10,Technology,0.1058,1.1607,-0.8915,3
2026-03-09,Consumer,0.2148,0.7214,0.0,3
2026-03-09,Energy,-0.1931,0.0,-0.5092,2
2026-03-09,Financials,-0.013,1.2917,-1.5214,3
2026-03-09,Healthcare,0.0567,0.911,-0.8872,3
2026-03-09,Technology,0.6277,2.7162,0.0,3
2026-03-06,Consumer,-0.1066,1.5805,-2.6172,3
2026-03-06,Energy,0.0799,0.2985,0.0,2
2026-03-06,Financials,-0.8107,0.0,-1.7969,3
2026-03-06,Healthcare,0.197,1.6535,-0.793,3
2026-03-06,Technology,-0.7528,0.0,-3.0108,3
2026-03-05,Consumer,-0.824,0.9778,-3.5209,3
2026-03-05,Energy,0.6769,2.0803,0.0,2
2026-03-05,Financials,-1.0984,0.0,-3.6656,3
2026-03-05,Healthcare,-0.5736,0.0,-2.3115,3
2026-03-05,Technology,0.1111,1.3524,-0.8495,3
2026-03-04,Consumer,0.6159,3.8758,-0.1022,3
2026-03-04,Energy,-0.6938,0.0,-1.4515,2
2026-03-04,Financials,0.152,0.6604,-0.2897,3
2026-03-04,Healthcare,0.0856,0.9509,-0.5876,3
2026-03-04,Technology,0.2514,1.6606,-0.4664,3
2026-03-03,Consumer,0.2165,0.6373,0.0,3
2026-03-03,Energy,-0.4969,0.0,-1.5497,2
2026-03-03,Financials,0.2218,0.9074,0.0,3
2026-03-03,Healthcare,-0.8604,0.0,-2.4945,3
2026-03-03,Technology,-0.058,1.3499,-1.3317,3
2026-03-02,Consumer,-0.3707,0.0,-0.7934,3
2026-03-02,Energy,0.6622,1.5207,0.0,2
2026-03-02,Financials,-0.0295,0.7754,-0.9124,3
